Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS TIMOR,PEND. BIOLOGI,60,53,100.0
UNIVERSITAS TIMOR,KIMIA,40,32,100.0
UNIVERSITAS TIMOR,MATEMATIKA,30,11,100.0
UNIVERSITAS TIMOR,EKO. PEMBANGUNAN,80,112,71.43
UNIVERSITAS TIMOR,AGROTEKNOLOGI,60,88,68.18
UNIVERSITAS TIDAR,TEKNIK SIPIL,80,312,25.64
UNIVERSITAS TIDAR,AKUAKULTUR,75,122,61.48
UNIVERSITAS TIDAR,TEKNIK MESIN,80,229,34.93
UNIVERSITAS TIDAR,AGROTEKNOLOGI,75,367,20.44
UNIVERSITAS TIDAR,PETERNAKAN,75,180,41.67
UNIVERSITAS TIDAR,HUKUM,100,328,30.49
UNIVERSITAS TIDAR,AKUNTANSI,100,502,19.92
UNIVERSITAS TIDAR,PENDIDIKAN BIOLOGI,80,139,57.55
UNIVERSITAS TIDAR,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,100,589,16.98
UNIVERSITAS TIDAR,PENDIDIKAN BAHASA INGGRIS,100,408,24.51
UNIVERSITAS TIDAR,ILMU ADMINISTRASI NEGARA,100,622,16.08
UNIVERSITAS TIDAR,PENDIDIKAN MATEMATIKA,80,208,38.46
UNIVERSITAS TIDAR,TEKNIK ELEKTRO,80,254,31.5
UNIVERSITAS TIDAR,EKONOMI PEMBANGUNAN,100,441,22.68
UNIVERSITAS TIDAR,ILMU KOMUNIKASI,100,670,14.93
UNIVERSITAS TIDAR,MANAJEMEN,100,696,14.37
UNIVERSITAS TIDAR,PENDIDIKAN ILMU PENGETAHUAN ALAM,80,204,39.22
UNIVERSITAS TEUKU UMAR,TEKNOLOGI INFORMASI,60,172,34.88
UNIVERSITAS TEUKU UMAR,EKONOMI PEMBANGUNAN,20,33,60.61
UNIVERSITAS TEUKU UMAR,ILMU KELAUTAN,20,47,42.55
UNIVERSITAS TEUKU UMAR,MANAJEMEN,60,127,47.24
UNIVERSITAS TEUKU UMAR,ILMU ADMINISTRASI NEGARA,60,136,44.12
UNIVERSITAS TEUKU UMAR,ILMU KOMUNIKASI,60,100,60.0
UNIVERSITAS TEUKU UMAR,AKUNTANSI,60,107,56.07
UNIVERSITAS TEUKU UMAR,TEKNIK SIPIL,60,101,59.41
UNIVERSITAS TEUKU UMAR,AGROTEKNOLOGI,50,74,67.57
UNIVERSITAS TEUKU UMAR,PERIKANAN,25,48,52.08
UNIVERSITAS TEUKU UMAR,GIZI,50,211,23.7
UNIVERSITAS TEUKU UMAR,ILMU HUKUM,50,94,53.19
UNIVERSITAS TEUKU UMAR,TEKNIK MESIN,35,75,46.67
UNIVERSITAS TEUKU UMAR,SOSIOLOGI,50,68,73.53
UNIVERSITAS TEUKU UMAR,SUMBER DAYA AKUATIK,15,13,100.0
UNIVERSITAS TEUKU UMAR,AKUAKULTUR,15,29,51.72
UNIVERSITAS TEUKU UMAR,TEKNIK INDUSTRI,30,52,57.69
UNIVERSITAS TEUKU UMAR,TEKNOLOGI HASIL PERTANIAN,20,48,41.67
UNIVERSITAS TEUKU UMAR,AGRIBISNIS,45,98,45.92
UNIVERSITAS TEUKU UMAR,KESEHATAN MASYARAKAT,80,215,37.21
UNIVERSITAS TANJUNGPURA,ILMU TANAH,60,57,100.0
UNIVERSITAS TANJUNGPURA,SOSIOLOGI,60,157,38.22
UNIVERSITAS TANJUNGPURA,ILMU POLITIK,60,163,36.81
UNIVERSITAS TANJUNGPURA,PETERNAKAN,30,52,57.69
UNIVERSITAS TANJUNGPURA,ILMU ADMINISTRASI NEGARA,60,934,6.42
UNIVERSITAS TANJUNGPURA,ILMU DAN TEKNOLOGI PANGAN,50,146,34.25
UNIVERSITAS TANJUNGPURA,TEKNIK SIPIL,80,391,20.46
UNIVERSITAS TANJUNGPURA,TEKNIK ARSITEKTUR,27,203,13.3
UNIVERSITAS TANJUNGPURA,PEND. EKONOMI,25,121,20.66
UNIVERSITAS TANJUNGPURA,KIMIA,50,70,71.43
